mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;7.5.2025;3306,78;3340;3306,5;3336,57;0,91;2481800,67
XZAG;CBX;HRZB00ICBEX6;6.5.2025;3303,23;3306,54;3291,04;3306,47;0,09;1598068,34
XZAG;CBX;HRZB00ICBEX6;5.5.2025;3296,83;3311,55;3296,83;3303,6;0,21;1666151,38
XZAG;CBX;HRZB00ICBEX6;2.5.2025;3296,46;3313,78;3295,67;3296,55;0,04;729866,53
XZAG;CBX;HRZB00ICBEX6;30.4.2025;3312,28;3325,89;3283,85;3295,24;-0,51;1626541,76
XZAG;CBX;HRZB00ICBEX6;29.4.2025;3259,14;3325,42;3259,14;3312,28;1,68;2470339,53
XZAG;CBX;HRZB00ICBEX6;28.4.2025;3229,86;3266,72;3228,67;3257,59;0,86;2383009,7
XZAG;CBX;HRZB00ICBEX6;25.4.2025;3226,32;3235,7;3220,9;3229,86;0,23;1277650,96
XZAG;CBX;HRZB00ICBEX6;24.4.2025;3217,09;3238,51;3217,09;3222,36;0,16;863795,77
XZAG;CBX;HRZB00ICBEX6;23.4.2025;3203,63;3227,43;3203,63;3217,09;0,44;937686,28
XZAG;CBX;HRZB00ICBEX6;22.4.2025;3188,96;3206,14;3180,99;3202,97;0,52;926683,08
XZAG;CBX;HRZB00ICBEX6;17.4.2025;3214,04;3214,04;3177,95;3186,47;-0,9;1280729,42
XZAG;CBX;HRZB00ICBEX6;16.4.2025;3246,04;3246,04;3215,37;3215,37;-0,94;1026698,69
XZAG;CBX;HRZB00ICBEX6;15.4.2025;3220,38;3252,39;3220,38;3246,04;0,88;1106554,65
XZAG;CBX;HRZB00ICBEX6;14.4.2025;3220,95;3223;3205,7;3217,6;-0,1;703258,25
XZAG;CBX;HRZB00ICBEX6;11.4.2025;3219,24;3230,85;3206,93;3220,81;0,01;1040398,94
XZAG;CBX;HRZB00ICBEX6;10.4.2025;3114,01;3281,38;3114,01;3220,37;3,43;2623043,28
XZAG;CBX;HRZB00ICBEX6;9.4.2025;3154,91;3154,91;3099,38;3113,48;-1,42;1578469,19
XZAG;CBX;HRZB00ICBEX6;8.4.2025;3042,16;3159,26;3042,16;3158,3;3,83;4586057,66
XZAG;CBX;HRZB00ICBEX6;7.4.2025;3172,05;3172,05;2938,27;3041,74;-4,2;6078401,75
XZAG;CBX;HRZB00ICBEX6;4.4.2025;3265,17;3265,84;3172;3174,94;-2,76;3803316,88
XZAG;CBX;HRZB00ICBEX6;3.4.2025;3286,76;3286,76;3254,9;3265,17;-0,66;1269812,34
XZAG;CBX;HRZB00ICBEX6;2.4.2025;3315,81;3323,49;3282,7;3286,76;-0,86;1188540,6
XZAG;CBX;HRZB00ICBEX6;1.4.2025;3301,36;3315,25;3286,81;3315,25;0,42;518553,56
XZAG;CBX;HRZB00ICBEX6;31.3.2025;3331,65;3331,65;3294,79;3301,36;-0,84;779916,82
XZAG;CBX;HRZB00ICBEX6;28.3.2025;3334,39;3334,5;3326,33;3329,27;-0,11;1003139,2
XZAG;CBX;HRZB00ICBEX6;27.3.2025;3343,66;3346,58;3331,38;3332,8;-0,29;753731,26
XZAG;CBX;HRZB00ICBEX6;26.3.2025;3339,45;3351,4;3326,21;3342,41;0,09;1258623,38
XZAG;CBX;HRZB00ICBEX6;25.3.2025;3317,16;3339,45;3314,29;3339,45;0,68;725620,06
XZAG;CBX;HRZB00ICBEX6;24.3.2025;3321,59;3329,23;3315,14;3316,75;-0,12;628358,76
XZAG;CBX;HRZB00ICBEX6;21.3.2025;3313,21;3320,8;3297,33;3320,8;0,23;1423660,2
XZAG;CBX;HRZB00ICBEX6;20.3.2025;3325,36;3326,13;3310,43;3313,21;-0,5;560966,21
XZAG;CBX;HRZB00ICBEX6;19.3.2025;3336,11;3338,35;3323,69;3329,85;-0,11;1281340,4
XZAG;CBX;HRZB00ICBEX6;18.3.2025;3297,1;3333,57;3291,49;3333,57;1,11;1129260,49
XZAG;CBX;HRZB00ICBEX6;17.3.2025;3291,45;3305,26;3286,09;3297,1;0,21;612541,8
XZAG;CBX;HRZB00ICBEX6;14.3.2025;3284,43;3290,56;3278,74;3290,14;0,17;668274,17
XZAG;CBX;HRZB00ICBEX6;13.3.2025;3290,02;3294,66;3273,78;3284,43;-0,12;1055227,17
XZAG;CBX;HRZB00ICBEX6;12.3.2025;3246,86;3291;3246,86;3288,43;1,28;863076,52
XZAG;CBX;HRZB00ICBEX6;11.3.2025;3267,91;3267,91;3246,86;3246,86;-0,64;1381818,18
XZAG;CBX;HRZB00ICBEX6;10.3.2025;3300,71;3307,45;3261,36;3267,91;-1,02;769141,13
XZAG;CBX;HRZB00ICBEX6;7.3.2025;3295,75;3302,35;3286,49;3301,65;0,14;629454,19
XZAG;CBX;HRZB00ICBEX6;6.3.2025;3304,7;3321,24;3286,02;3296,88;-0,15;1320507,4
XZAG;CBX;HRZB00ICBEX6;5.3.2025;3245,15;3310,25;3245,15;3301,9;1,87;1178104,9
XZAG;CBX;HRZB00ICBEX6;4.3.2025;3323,77;3323,77;3136,61;3241,41;-2,61;4486208,04
XZAG;CBX;HRZB00ICBEX6;3.3.2025;3337,51;3342,91;3321,02;3328,3;-0,16;1198971,14
XZAG;CBX;HRZB00ICBEX6;28.2.2025;3387,56;3391,53;3331,89;3333,77;-1,64;1672311,27
XZAG;CBX;HRZB00ICBEX6;27.2.2025;3383,64;3394,66;3370,31;3389,43;0,17;1733075,61
XZAG;CBX;HRZB00ICBEX6;26.2.2025;3407,16;3414,4;3382,08;3383,64;-0,69;2266402,13
XZAG;CBX;HRZB00ICBEX6;25.2.2025;3418,03;3430,53;3402,07;3407,16;-0,29;955173,63
XZAG;CBX;HRZB00ICBEX6;24.2.2025;3475,3;3480,63;3414,03;3417,01;-1,55;1499801,79
XZAG;CBX;HRZB00ICBEX6;21.2.2025;3465,32;3470,77;3451,05;3470,77;0,16;1020735,47
XZAG;CBX;HRZB00ICBEX6;20.2.2025;3463,54;3468,18;3449,23;3465,32;0,1;837814,76
XZAG;CBX;HRZB00ICBEX6;19.2.2025;3441,93;3461,7;3441,93;3461,7;0,54;1171208,17
XZAG;CBX;HRZB00ICBEX6;18.2.2025;3424,16;3455,99;3424,16;3443,13;0,53;1092341,5
XZAG;CBX;HRZB00ICBEX6;17.2.2025;3460,18;3464,27;3419,91;3425,03;-1,02;1859457,87
XZAG;CBX;HRZB00ICBEX6;14.2.2025;3458,25;3472,91;3447,61;3460,18;0,02;1120639,28
XZAG;CBX;HRZB00ICBEX6;13.2.2025;3456,57;3471,05;3445,69;3459,45;0,08;1542845,09
XZAG;CBX;HRZB00ICBEX6;12.2.2025;3441,31;3459,68;3435,8;3456,57;0,51;1411249,28
XZAG;CBX;HRZB00ICBEX6;11.2.2025;3444,55;3449,74;3437,09;3439,04;-0,16;1657376,1
XZAG;CBX;HRZB00ICBEX6;10.2.2025;3419,56;3464,26;3418,43;3444,55;0,8;1011193,69
XZAG;CBX;HRZB00ICBEX6;7.2.2025;3465,48;3465,48;3417,16;3417,16;-1,28;1661286,8
